time_iso8601,forks_cumulative
2021-06-16 00:00:00+00:00,1
2021-08-03 00:00:00+00:00,2
2021-10-14 00:00:00+00:00,3
2021-11-13 00:00:00+00:00,4
2021-11-17 00:00:00+00:00,5
2021-12-01 00:00:00+00:00,6
2022-01-18 00:00:00+00:00,7
2022-01-20 00:00:00+00:00,9
2022-01-21 00:00:00+00:00,10
2022-02-09 00:00:00+00:00,11
2022-09-16 00:00:00+00:00,12
2022-10-20 00:00:00+00:00,13
2022-11-10 00:00:00+00:00,14
2023-01-27 00:00:00+00:00,15
2023-02-17 00:00:00+00:00,16
2023-04-06 00:00:00+00:00,17
2023-04-07 00:00:00+00:00,18
2023-05-18 00:00:00+00:00,19
2023-06-16 00:00:00+00:00,20
2024-02-01 00:00:00+00:00,21
2024-05-01 00:00:00+00:00,22
2024-05-23 00:00:00+00:00,23
2024-12-21 00:00:00+00:00,24
2025-02-10 00:00:00+00:00,25
