time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-24 00:00:00+00:00,3,1,4,2
2025-01-25 00:00:00+00:00,0,0,3,2
2025-01-27 00:00:00+00:00,1,1,5,4
2025-01-28 00:00:00+00:00,1,1,14,8
2025-01-29 00:00:00+00:00,1,1,1,1
2025-01-31 00:00:00+00:00,1,1,1,1
2025-02-01 00:00:00+00:00,1,1,1,1
2025-02-03 00:00:00+00:00,1,1,2,2
2025-02-04 00:00:00+00:00,0,0,12,5
2025-02-05 00:00:00+00:00,0,0,3,2
2025-02-06 00:00:00+00:00,1,1,1,1
2025-02-07 00:00:00+00:00,3,3,9,5
2025-02-09 00:00:00+00:00,2,2,0,0
2025-02-10 00:00:00+00:00,18,4,24,6
2025-02-11 00:00:00+00:00,1,1,3,3
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,3,2,8,5
2025-02-14 00:00:00+00:00,3,3,1,1
2025-02-16 00:00:00+00:00,0,0,4,2
2025-02-17 00:00:00+00:00,2,2,2,2
2025-02-18 00:00:00+00:00,1,1,4,2
2025-02-19 00:00:00+00:00,2,1,1,1
2025-02-20 00:00:00+00:00,16,1,5,3
2025-02-21 00:00:00+00:00,1,1,1,1
2025-02-22 00:00:00+00:00,1,1,1,1
2025-02-23 00:00:00+00:00,1,1,1,1
2025-02-24 00:00:00+00:00,2,1,0,0
2025-02-25 00:00:00+00:00,1,1,1,1
2025-02-26 00:00:00+00:00,1,1,2,2
2025-02-28 00:00:00+00:00,0,0,2,2
2025-03-01 00:00:00+00:00,0,0,1,1
2025-03-02 00:00:00+00:00,0,0,2,2
2025-03-03 00:00:00+00:00,1,1,1,1
2025-03-04 00:00:00+00:00,0,0,4,1
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,0,0,4,3
2025-03-08 00:00:00+00:00,0,0,2,1
2025-03-09 00:00:00+00:00,1,1,7,2
2025-03-10 00:00:00+00:00,2,2,4,2
2025-03-11 00:00:00+00:00,1,1,2,2
2025-03-12 00:00:00+00:00,3,2,1,1
2025-03-13 00:00:00+00:00,2,1,3,2
2025-03-14 00:00:00+00:00,1,1,1,1
2025-03-15 00:00:00+00:00,0,0,2,2
2025-03-16 00:00:00+00:00,0,0,2,2
2025-03-17 00:00:00+00:00,3,3,1,1
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,2,2,5,4
2025-03-20 00:00:00+00:00,2,2,6,2
2025-03-21 00:00:00+00:00,3,3,1,1
2025-03-24 00:00:00+00:00,0,0,1,1
2025-03-25 00:00:00+00:00,1,1,2,2
2025-03-26 00:00:00+00:00,1,1,5,4
2025-03-27 00:00:00+00:00,0,0,26,5
2025-03-28 00:00:00+00:00,0,0,6,5
2025-03-29 00:00:00+00:00,1,1,12,4
2025-03-31 00:00:00+00:00,2,2,1,1
2025-04-02 00:00:00+00:00,4,4,11,3
2025-04-03 00:00:00+00:00,3,3,1,1
2025-04-04 00:00:00+00:00,1,1,3,2
2025-04-05 00:00:00+00:00,1,1,2,2
2025-04-07 00:00:00+00:00,2,2,0,0
2025-04-08 00:00:00+00:00,3,3,2,2
2025-04-09 00:00:00+00:00,4,3,0,0
2025-04-10 00:00:00+00:00,3,3,6,4
2025-04-11 00:00:00+00:00,2,2,2,2
2025-04-12 00:00:00+00:00,5,4,0,0
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,2,2,2,1
2025-04-17 00:00:00+00:00,0,0,1,1
2025-04-18 00:00:00+00:00,2,2,1,1
2025-04-20 00:00:00+00:00,0,0,4,4
2025-04-21 00:00:00+00:00,34,9,5,2
2025-04-22 00:00:00+00:00,0,0,7,4
2025-04-23 00:00:00+00:00,3,3,1,1
2025-04-26 00:00:00+00:00,2,2,4,3
2025-04-27 00:00:00+00:00,1,1,14,5
