time_iso8601,forks_cumulative
2015-06-25 00:00:00+00:00,1
2015-07-14 00:00:00+00:00,2
2015-07-20 00:00:00+00:00,3
2015-08-31 00:00:00+00:00,4
2016-04-06 00:00:00+00:00,5
2016-05-04 00:00:00+00:00,6
2016-07-21 00:00:00+00:00,7
2017-03-22 00:00:00+00:00,8
2017-06-27 00:00:00+00:00,12
2017-06-28 00:00:00+00:00,14
2017-06-29 00:00:00+00:00,15
2017-07-05 00:00:00+00:00,17
2017-07-25 00:00:00+00:00,18
2017-08-20 00:00:00+00:00,19
2017-08-29 00:00:00+00:00,20
2017-08-30 00:00:00+00:00,28
2017-09-03 00:00:00+00:00,30
2017-09-04 00:00:00+00:00,31
2017-09-06 00:00:00+00:00,33
2017-09-08 00:00:00+00:00,34
2017-09-10 00:00:00+00:00,35
2017-09-15 00:00:00+00:00,36
2017-09-19 00:00:00+00:00,37
2017-09-20 00:00:00+00:00,41
2017-09-21 00:00:00+00:00,43
2017-09-23 00:00:00+00:00,44
2017-09-25 00:00:00+00:00,45
2017-10-26 00:00:00+00:00,46
2017-10-29 00:00:00+00:00,47
2018-01-21 00:00:00+00:00,48
2018-02-07 00:00:00+00:00,49
2018-03-08 00:00:00+00:00,50
2018-03-11 00:00:00+00:00,51
2018-04-21 00:00:00+00:00,52
2018-06-05 00:00:00+00:00,53
2018-06-28 00:00:00+00:00,54
2018-07-03 00:00:00+00:00,55
2018-08-10 00:00:00+00:00,56
2018-09-03 00:00:00+00:00,57
2018-10-18 00:00:00+00:00,58
2018-10-21 00:00:00+00:00,59
2018-11-13 00:00:00+00:00,60
2018-11-14 00:00:00+00:00,61
2018-12-12 00:00:00+00:00,62
2018-12-19 00:00:00+00:00,63
2018-12-20 00:00:00+00:00,64
2019-01-03 00:00:00+00:00,65
2019-01-31 00:00:00+00:00,67
2019-02-03 00:00:00+00:00,68
2019-02-04 00:00:00+00:00,69
2019-02-06 00:00:00+00:00,70
2019-04-25 00:00:00+00:00,71
2019-05-26 00:00:00+00:00,72
2019-06-24 00:00:00+00:00,73
2019-07-05 00:00:00+00:00,74
2019-07-18 00:00:00+00:00,75
2019-07-20 00:00:00+00:00,76
2019-07-22 00:00:00+00:00,77
2019-07-24 00:00:00+00:00,78
2019-08-09 00:00:00+00:00,80
2019-08-13 00:00:00+00:00,81
2019-08-14 00:00:00+00:00,82
2019-08-23 00:00:00+00:00,83
2019-09-06 00:00:00+00:00,84
2019-09-17 00:00:00+00:00,85
2019-09-18 00:00:00+00:00,86
2019-10-09 00:00:00+00:00,87
2019-10-22 00:00:00+00:00,88
2019-10-31 00:00:00+00:00,89
2019-11-06 00:00:00+00:00,90
2019-11-07 00:00:00+00:00,91
2019-11-10 00:00:00+00:00,92
2019-11-15 00:00:00+00:00,93
2019-11-25 00:00:00+00:00,94
2019-12-02 00:00:00+00:00,95
2019-12-10 00:00:00+00:00,96
2019-12-11 00:00:00+00:00,97
2020-01-08 00:00:00+00:00,98
2020-01-30 00:00:00+00:00,99
2020-02-02 00:00:00+00:00,100
2020-02-06 00:00:00+00:00,101
2020-02-08 00:00:00+00:00,102
2020-02-24 00:00:00+00:00,103
2020-02-25 00:00:00+00:00,104
2020-03-26 00:00:00+00:00,105
2020-04-22 00:00:00+00:00,106
2020-04-30 00:00:00+00:00,108
2020-05-03 00:00:00+00:00,109
2020-05-04 00:00:00+00:00,110
2020-05-07 00:00:00+00:00,111
2020-06-04 00:00:00+00:00,112
2020-06-09 00:00:00+00:00,113
2020-06-11 00:00:00+00:00,114
2020-06-22 00:00:00+00:00,115
2020-07-24 00:00:00+00:00,116
2020-07-31 00:00:00+00:00,117
2020-08-01 00:00:00+00:00,118
2020-09-15 00:00:00+00:00,119
2020-09-17 00:00:00+00:00,121
2020-10-02 00:00:00+00:00,122
2020-11-14 00:00:00+00:00,123
2020-11-18 00:00:00+00:00,125
2020-11-20 00:00:00+00:00,126
2020-11-21 00:00:00+00:00,127
2020-12-07 00:00:00+00:00,128
2020-12-17 00:00:00+00:00,129
2021-01-03 00:00:00+00:00,130
2021-02-11 00:00:00+00:00,131
2021-03-12 00:00:00+00:00,132
2021-03-19 00:00:00+00:00,133
2021-04-16 00:00:00+00:00,134
2021-04-30 00:00:00+00:00,135
2021-05-13 00:00:00+00:00,136
2021-06-02 00:00:00+00:00,137
2021-07-28 00:00:00+00:00,138
2021-08-07 00:00:00+00:00,139
2021-08-12 00:00:00+00:00,140
2021-09-06 00:00:00+00:00,141
2021-09-16 00:00:00+00:00,142
2021-09-28 00:00:00+00:00,143
2021-10-21 00:00:00+00:00,144
2021-10-25 00:00:00+00:00,145
2021-10-30 00:00:00+00:00,146
2021-11-01 00:00:00+00:00,147
2021-11-29 00:00:00+00:00,148
2021-12-01 00:00:00+00:00,149
2022-01-10 00:00:00+00:00,150
2022-01-21 00:00:00+00:00,151
2022-02-18 00:00:00+00:00,152
2022-03-04 00:00:00+00:00,153
2022-03-21 00:00:00+00:00,154
2022-03-23 00:00:00+00:00,155
2022-04-07 00:00:00+00:00,156
2022-04-13 00:00:00+00:00,157
2022-05-13 00:00:00+00:00,158
2022-06-08 00:00:00+00:00,159
2022-07-08 00:00:00+00:00,160
2022-07-09 00:00:00+00:00,161
2022-07-24 00:00:00+00:00,162
2022-07-27 00:00:00+00:00,163
2022-08-21 00:00:00+00:00,164
2022-09-26 00:00:00+00:00,165
2022-09-28 00:00:00+00:00,166
2022-10-04 00:00:00+00:00,167
2022-10-12 00:00:00+00:00,168
2022-10-14 00:00:00+00:00,169
2022-10-16 00:00:00+00:00,170
2022-10-22 00:00:00+00:00,171
2022-12-12 00:00:00+00:00,172
2023-01-03 00:00:00+00:00,173
2023-01-08 00:00:00+00:00,174
2023-02-18 00:00:00+00:00,175
2023-02-28 00:00:00+00:00,176
2023-03-03 00:00:00+00:00,177
2023-04-15 00:00:00+00:00,178
2023-08-14 00:00:00+00:00,179
2023-08-25 00:00:00+00:00,180
2023-10-06 00:00:00+00:00,181
2023-10-10 00:00:00+00:00,182
2023-10-18 00:00:00+00:00,183
2023-10-31 00:00:00+00:00,184
2023-11-08 00:00:00+00:00,185
2024-01-02 00:00:00+00:00,186
2024-02-01 00:00:00+00:00,187
2024-02-05 00:00:00+00:00,188
2024-03-03 00:00:00+00:00,189
2024-04-20 00:00:00+00:00,190
2024-06-09 00:00:00+00:00,191
2024-07-11 00:00:00+00:00,192
2024-08-07 00:00:00+00:00,193
2024-08-31 00:00:00+00:00,194
2024-09-02 00:00:00+00:00,195
2024-09-11 00:00:00+00:00,196
2024-09-24 00:00:00+00:00,198
2024-11-23 00:00:00+00:00,199
2024-12-31 00:00:00+00:00,200
2025-01-20 00:00:00+00:00,201
2025-02-07 00:00:00+00:00,202
2025-02-27 00:00:00+00:00,203
