time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,23,15,69,34
2026-08-26 00:00:00+00:00,40,19,55,27
2026-08-27 00:00:00+00:00,20,10,81,30
2026-08-28 00:00:00+00:00,9,6,41,18
2026-08-29 00:00:00+00:00,11,6,52,17
2026-08-30 00:00:00+00:00,7,4,28,15
2026-08-31 00:00:00+00:00,13,10,47,16
2026-09-01 00:00:00+00:00,10,7,67,19
2026-09-02 00:00:00+00:00,15,7,81,24
2026-09-03 00:00:00+00:00,7,6,20,12
2026-09-04 00:00:00+00:00,5,5,24,13
2026-09-05 00:00:00+00:00,15,11,32,11
2026-09-06 00:00:00+00:00,4,3,12,7
2026-09-07 00:00:00+00:00,5,5,20,6
